"Longitude","Latitude","Admin","Year","disease"
-60.02,-3.11,-999,2002,"yf"
-75.28,-10.7,-999,1995,"yf"
-72.65,-12.83,-999,1998,"yf"
-73.81,-12.6,-999,1978,"yf"
-73.81,-12.6,-999,1977,"yf"
-71.97,-13.51,-999,1981,"yf"
-73.85984,-12.58021,-999,1977,"yf"
-76.51,-8.18,-999,1995,"yf"
-76.36,-6.5,-999,1999,"yf"
-56.26,-16.16,-999,1992,"yf"
-48.15,-2.41,-999,1978,"yf"
-47.48,-5.53,-999,1980,"yf"
-47.3,-1.2,-999,1971,"yf"
-3.7,11.23,-999,1983,"yf"
-4.34,7.45,-999,1982,"yf"
0.35,12.06,-999,1983,"yf"
-4.41,8.35,-999,1982,"yf"
-16.25,14.66,-999,1965,"yf"
-14.95,13.8,-999,1981,"yf"
-16.63,15.11,-999,1981,"yf"
-16.46,13.76,-999,1979,"yf"
-54.03,3.63,-999,1998,"yf"
-45.25,-19.71,-999,2001,"yf"
-45.25,-19.71,-999,2002,"yf"
32.75,4.17,-999,2003,"yf"
-48.48,-1.45,-999,1969,"yf"
-50.12,-15.95,-999,2000,"yf"
-51.86,-2.95,-999,1998,"yf"
-49.29,-8.24,-999,1981,"yf"
-50.48,-1.66,-999,1999,"yf"
-50.48,-1.66,-999,1987,"yf"
-44.36,-6.36,-999,1993,"yf"
-63.9,-8.76,-999,1983,"yf"
-46.06,-15.91,-999,1994,"yf"
-44.08,-6.6,-999,1995,"yf"
-54.06,-2.01,-999,1984,"yf"
-47.91,-15.78,-999,2000,"yf"
-45.25,-5.5,-999,1993,"yf"
-56.73,-2.13,-999,1984,"yf"
-47.78,-1.68,-999,1984,"yf"
-54.95,-2.63,-999,1978,"yf"
-47.06,-5.83,-999,1980,"yf"
-51.8,-16.96,-999,1988,"yf"
-46.86,-17.21,-999,1988,"yf"
-50.38,-0.16,-999,1998,"yf"
-48.9,-1.7,-999,1968,"yf"
-52.2,-3.2,-999,1977,"yf"
-52.2,-3.2,-999,1980,"yf"
-52.2,-3.2,-999,1979,"yf"
-52.2,-3.2,-999,1982,"yf"
-59.3,-9.98,-999,1975,"yf"
-55.46,-11.86,-999,1985,"yf"
-54.76,-1.93,-999,1976,"yf"
-46.75,-5.6,-999,1982,"yf"
-4.02,5.34,-999,2001,"yf"
29.65,12.05,-999,2005,"yf"
30.37,10.63,-999,2005,"yf"
31.06,11.85,-999,2005,"yf"
31.23,11.45,-999,2005,"yf"
29.71,11.01,-999,2005,"yf"
33.782849,2.584313,-999,2010,"yf"
24.141,12.737,-999,2012,"yf"
-4.041,12.653,-999,2006,"yf"
-3.185,11.64,-999,2006,"yf"
0.206,11.468,-999,2006,"yf"
-3.363,12.432,-999,2007,"yf"
1.134,11.84,-999,2007,"yf"
-2.607,13.767,-999,2008,"yf"
-2.057,13.845,-999,2008,"yf"
-0.094,14.381,-999,2008,"yf"
-1.964,14.202,-999,2008,"yf"
-3.421,9.968,-999,2003,"yf"
-3.128,9.997,-999,2003,"yf"
-4.665,10.665,-999,2004,"yf"
-4.635,10.576,-999,2004,"yf"
-4.775,9.788,-999,2004,"yf"
-4.623,10.023,-999,2004,"yf"
-3.793,10.639,-999,2004,"yf"
-3.597,10.175,-999,2004,"yf"
-3.127,10.026,-999,2004,"yf"
-3.496,10.766,-999,2004,"yf"
-5.251,11.23,-999,2004,"yf"
-4.51,11.831,-999,2004,"yf"
-3.987,11.846,-999,2004,"yf"
-3.338,11.29,-999,2004,"yf"
-4.204,12.102,-999,2004,"yf"
-3.327,12.337,-999,2004,"yf"
-5.283,10.72,-999,2005,"yf"
-5.305,10.645,-999,2005,"yf"
-4.966,10.424,-999,2005,"yf"
-4.53,10.52,-999,2005,"yf"
-4.077,10.499,-999,2005,"yf"
-4.926,9.903,-999,2005,"yf"
-3.941,10.006,-999,2005,"yf"
-3.656,10.82,-999,2005,"yf"
-3.392,10.449,-999,2005,"yf"
-3.31,10.434,-999,2005,"yf"
-3.049,10.038,-999,2005,"yf"
-2.953,9.806,-999,2005,"yf"
-2.824,10.174,-999,2005,"yf"
-3.174,11.081,-999,2005,"yf"
-2.282,11.387,-999,2005,"yf"
-4.385,12.475,-999,2005,"yf"
-4.233,12.68,-999,2005,"yf"
-3.321,12.634,-999,2005,"yf"
-2.791,12.565,-999,2005,"yf"
-58.408642,-16.361193,-999,2002,"yf"
-67.200515,-15.800061,-999,2007,"yf"
-63.314338,-18.786916,-999,1999,"yf"
-64.112263,-18.489285,-999,1999,"yf"
-63.383651,-17.993876,-999,1999,"yf"
-63.635905,-18.130366,-999,1999,"yf"
-65.423369,-16.971508,-999,2006,"yf"
-63.18117,-17.78629,-999,2006,"yf"
-68.301091,-16.649015,-999,2002,"yf"
-65.521689,-16.831642,-999,2005,"yf"
-65.399568,-16.915474,-999,2006,"yf"
13.234,-8.838,-999,1971,"yf"
-1.561,12.283,-999,1983,"yf"
18.556,4.362,-999,1985,"yf"
30.206,3.868,-999,1958,"yf"
37.13,6.504,-999,1961,"yf"
37.55,6.033,-999,1966,"yf"
-16.652,13.388,-999,2001,"yf"
-1.023,7.947,-999,1927,"yf"
-15.18,11.803,-999,1965,"yf"
-3.721,7.2,-999,1999,"yf"
35.767,0.177,-999,1993,"yf"
8.675,9.081,-999,1946,"yf"
8.68,9.09,-999,1970,"yf"
3.935,7.837,-999,1987,"yf"
8.68,9.09,-999,1987,"yf"
5.933,7.25,-999,1991,"yf"
-14.452,14.497,-999,1953,"yf"
-16.233,14.653,-999,1965,"yf"
-16.44,14.634,-999,1965,"yf"
30.75,12,-999,1940,"yf"
32.567,4.417,-999,2003,"yf"
32.567,4.471,-999,2003,"yf"
32.29,1.373,-999,1948,"yf"
32.465,0.053,-999,1964,"yf"
32.869,3.295,-999,2010,"yf"
8.41,6.85,-999,1986,"yf"
9.06,6.78,-999,1986,"yf"
-14.21,13.31,-999,1979,"yf"
-14.8,13.48,-999,1978,"yf"
-16.09,13.48,-999,1979,"yf"
-14.21,13.46,-999,1979,"yf"
-14.58,13.5,-999,1979,"yf"
-14.65,13.43,-999,1978,"yf"
-16.45,13.4,-999,1979,"yf"
-15.55,13.46,-999,1979,"yf"
4.18,8.08,-999,1988,"yf"
-14.81,13.53,-999,1979,"yf"
-15.55,13.46,-999,1978,"yf"
-14.53,13.3,-999,1979,"yf"
