"Sovereignt","Surveillance_score","Total_population","DCZ_pop_risk_mean","DCZ_pop_risk_lower","DCZ_pop_risk_upper","YF_pop_risk_mean","YF_pop_risk_lower","YF_pop_risk_upper"
"Afghanistan",0.322,38.356,16.779,16.535,17.11,0,0,0
"Albania",0.77,2.923,2.158,2.133,2.172,0,0,0
"Algeria",0.718,42.712,26.989,26.755,27.347,0,0,0
"Andorra",0.961,0.083,0,0,0,0,0,0
"Angola",0.578,33.375,28.289,28.155,28.435,25.748,25.617,25.897
"Antigua and Barbuda",0.803,0.075,0.067,0.067,0.067,0,0,0
"Argentina",0.842,45.744,39.267,39.173,39.348,39.439,39.364,39.522
"Armenia",0.851,2.992,1.271,1.271,1.271,0,0,0
"Australia",0.865,24.222,20.445,20.407,20.464,0,0,0
"Austria",0.652,8.974,2.057,2.034,2.079,0,0,0
"Azerbaijan",0.722,10.001,4.766,4.693,4.811,0,0,0
"Bahamas",0.866,0.187,0.169,0.169,0.169,0,0,0
"Bahrain",0.686,0.686,0.531,0.531,0.531,0,0,0
"Bangladesh",0.682,162.639,159.853,159.853,159.853,0,0,0
"Barbados",0.833,0.218,0.191,0.191,0.191,0,0,0
"Belarus",0.638,9.425,0.145,0.145,0.145,0,0,0
"Belgium",0.863,11.834,0,0,0,0,0,0
"Belize",0.783,0.322,0.311,0.311,0.311,0,0,0
"Benin",0.596,13.617,12.538,12.528,12.547,12.783,12.783,12.783
"Bhutan",0.817,0.965,0.676,0.676,0.676,0,0,0
"Bolivia (Plurinational State of)",0.794,11.907,7.226,7.219,7.233,10.294,10.283,10.313
"Bosnia and Herzegovina",0.671,3.828,1.161,1.128,1.205,0,0,0
"Botswana",0.597,2.357,1.917,1.91,1.925,0.008,0.008,0.009
"Brazil",0.907,204.408,200.653,200.648,200.657,200.232,200.226,200.238
"Brunei Darussalam",0.862,0.391,0.378,0.378,0.378,0,0,0
"Bulgaria",0.742,6.815,2.562,2.518,2.582,0,0,0
"Burkina Faso",0.322,21.99,21.528,21.464,21.587,21.982,21.981,21.982
"Burundi",0.505,12.423,12.391,12.386,12.394,12.045,11.983,12.089
"Cabo Verde",0.852,0.41,0.377,0.377,0.377,0,0,0
"Cambodia",0.781,16.541,16.448,16.443,16.453,0,0,0
"Cameroon",0.62,28.827,28.212,28.186,28.237,28.086,28.065,28.114
"Canada",0.855,35.408,11.296,11.017,11.683,0,0,0
"Central African Republic",0.491,5.307,5.047,5.037,5.062,5.241,5.233,5.247
"Chad",0.261,18.032,15.615,15.54,15.685,16.065,16.044,16.092
"Chile",0.856,17.229,11.319,11.296,11.351,0,0,0
"China",0.516,1406.304,584.786,578.279,590.285,0,0,0
"Colombia",0.875,48.188,35.193,35.19,35.196,47.627,47.614,47.637
"Comoros",0.71,0.561,0.476,0.476,0.476,0,0,0
"Congo",0.723,5.508,5.236,5.234,5.238,5.243,5.242,5.245
"Costa Rica",0.922,5.025,4.944,4.944,4.944,0.006,0.006,0.006
"Croatia",0.665,3.732,1.612,1.587,1.658,0,0,0
"Cuba",0.857,10.098,9.886,9.886,9.886,0,0,0
"Cyprus",0.763,1.109,0.977,0.975,0.977,0,0,0
"Czechia",0.599,10.655,1.086,0.949,1.086,0,0,0
"Cote d'Ivoire",0.592,27.741,27.298,27.291,27.304,27.391,27.391,27.392
"Democratic People's Republic of Korea",0.316,24.807,10.585,10.424,10.753,0,0,0
"Democratic Republic of the Congo",0.46,107.555,104.235,104.108,104.351,103.637,103.495,103.763
"Denmark",0.681,5.147,0,0,0,0,0,0
"Djibouti",0.683,0.655,0.604,0.603,0.605,0.584,0.583,0.585
"Dominica",0.592,0.033,0.023,0.023,0.023,0,0,0
"Dominican Republic",0.911,9.8,9.459,9.459,9.459,0,0,0
"Ecuador",0.856,15.982,10.313,10.311,10.314,15.445,15.431,15.457
"Egypt",0.897,105.38,103.197,103.18,103.212,102,101.995,102.044
"El Salvador",0.898,6.457,6.392,6.392,6.392,0,0,0
"Equatorial Guinea",0.75,1.373,1.352,1.352,1.352,1.349,1.349,1.349
"Eritrea",0.379,6.081,5.935,5.923,5.945,4.798,4.694,4.852
"Estonia",0.639,1.127,0,0,0,0,0,0
"Eswatini",0.669,1.121,1.117,1.114,1.117,0.015,0.015,0.015
"Ethiopia",0.26,113.698,94.044,93.409,94.617,100.103,99.088,101.195
"Fiji",0.835,0.635,0.602,0.602,0.602,0,0,0
"Finland",0.626,5.234,0,0,0,0,0,0
"France",0.819,65.681,25.82,25.512,26.073,0.169,0.169,0.169
"Gabon",0.778,1.661,1.636,1.636,1.636,1.634,1.633,1.634
"Gambia",0.799,2.079,2.05,2.05,2.05,2.05,2.05,2.05
"Georgia",0.619,4.731,2.734,2.695,2.793,0,0,0
"Germany",0.679,84.009,6.932,6.618,7.108,0,0,0
"Ghana",0.73,31.716,30.926,30.916,30.933,30.809,30.809,30.809
"Greece",0.599,8.942,5.996,5.948,6.04,0,0,0
"Grenada",0.747,0.069,0.053,0.053,0.053,0,0,0
"Guatemala",0.837,17.635,15.642,15.642,15.642,0,0,0
"Guinea",0.428,12.402,11.893,11.871,11.921,12.357,12.355,12.357
"Guinea-Bissau",0.474,1.786,1.738,1.738,1.739,1.745,1.745,1.745
"Guyana",0.709,0.602,0.56,0.56,0.56,0.56,0.56,0.56
"Haiti",0.693,9.754,9.189,9.189,9.19,0,0,0
"Honduras",0.859,9.172,9.156,9.156,9.156,0,0,0
"Hungary",0.618,9.716,2.38,2.352,2.437,0,0,0
"Iceland",0.515,0.212,0,0,0,0,0,0
"India",0.693,1376.711,1355.866,1354.522,1357.38,0,0,0
"Indonesia",0.823,254.097,245.146,245.05,245.236,0,0,0
"Iran (Islamic Republic of)",0.551,85.324,59.678,59.392,59.954,0,0,0
"Iraq",0.748,40.461,36.749,36.673,36.826,0,0,0
"Ireland",0.751,4.821,0,0,0,0,0,0
"Israel",0.898,13.509,12.935,12.932,12.941,0.002,0.002,0.002
"Italy",0.753,57.143,46.503,46.116,46.824,0,0,0
"Jamaica",0.812,2.556,2.287,2.287,2.287,0,0,0
"Japan",0.904,117.145,101.885,101.574,102.238,0,0,0
"Jordan",0.928,10.943,9.892,9.859,9.923,0,0,0
"Kazakhstan",0.609,19.227,5.205,5.174,5.417,0,0,0
"Kenya",0.678,54.892,51.211,51.097,51.325,51.243,51.083,51.412
"Kiribati",0,0.003,0,0,0,0,0,0
"Kuwait",0.924,2.76,2.535,2.531,2.539,0,0,0
"Kyrgyzstan",0.648,6.059,1.649,1.622,1.654,0,0,0
"Lao People's Democratic Republic",0.434,7.663,6.695,6.659,6.73,0,0,0
"Latvia",0.635,1.792,0,0,0,0,0,0
"Lebanon",0.766,4.479,3.977,3.964,3.994,0,0,0
"Lesotho",0.647,2.173,0.947,0.918,0.969,0,0,0
"Liberia",0.568,4.684,4.519,4.519,4.519,4.519,4.519,4.519
"Libya",0.531,6.517,5.285,5.266,5.301,0,0,0
"Liechtenstein",0.936,0.036,0,0,0,0,0,0
"Lithuania",0.625,2.662,0,0,0,0,0,0
"Luxembourg",0.876,0.647,0,0,0,0,0,0
"Madagascar",0.358,27.286,20.417,20.261,20.594,17.014,16.753,17.255
"Malawi",0.498,20.565,19.492,19.45,19.545,17.498,17.408,17.628
"Malaysia",0.906,30.447,29.227,29.225,29.229,0,0,0
"Maldives",0,0,0,0,0,0,0,0
"Mali",0.379,20.777,17.714,17.572,17.84,18.939,18.89,18.978
"Malta",0.928,0.306,0.295,0.295,0.295,0,0,0
"Marshall Islands",0,0,0,0,0,0,0,0
"Mauritania",0.502,4.142,3.397,3.375,3.424,2.713,2.694,2.733
"Mauritius",0.907,1.183,1.107,1.107,1.107,0,0,0
"Mexico",0.906,125.864,121.107,121.06,121.155,0,0,0
"Micronesia (Federated States of)",0.467,0.02,0.011,0.011,0.011,0,0,0
"Monaco",0.079,0.01,0.001,0.001,0.001,0,0,0
"Mongolia",0.468,3.236,0.022,0.022,0.022,0,0,0
"Montenegro",0.625,0.557,0.302,0.297,0.305,0,0,0
"Morocco",0.696,34.333,24.262,24.151,24.361,0,0,0
"Mozambique",0.309,30.795,26.591,26.485,26.707,25.95,25.777,26.117
"Myanmar",0.529,55.745,51.18,51.08,51.298,0,0,0
"Namibia",0.531,2.734,2.315,2.308,2.323,0.033,0.033,0.033
"Nauru",0.737,0.004,0.004,0.004,0.004,0,0,0
"Nepal",0.727,32.012,31.271,31.271,31.283,0,0,0
"Netherlands",0.796,17.222,0.184,0.184,0.184,0,0,0
"New Zealand",0.731,4.231,0.571,0.571,0.571,0,0,0
"Nicaragua",0.718,6.159,6.098,6.096,6.099,0,0,0
"Niger",0.258,24.461,19.485,19.219,19.759,18.94,18.451,19.436
"Nigeria",0.639,221.993,217.232,216.959,217.574,216.808,216.395,217.087
"North Macedonia",0.84,2.141,1.06,1.06,1.095,0,0,0
"Norway",0.499,4.402,0,0,0,0,0,0
