"Sovereignt","Surveillance_score","Total_population","DCZ_pop_risk_mean","DCZ_pop_risk_lower","DCZ_pop_risk_upper","YF_pop_risk_mean","YF_pop_risk_lower","YF_pop_risk_upper"
"Afghanistan",0.513,38.356,1.677,1.651,1.704,0,0,0
"Albania",0.743,2.923,0.216,0.214,0.218,0,0,0
"Algeria",0.687,42.712,2.707,2.686,2.746,0,0,0
"Andorra",0.957,0.083,0,0,0,0,0,0
"Angola",0.639,33.375,2.848,2.837,2.858,2.585,2.571,2.6
"Antigua and Barbuda",0.802,0.075,0.007,0.007,0.007,0,0,0
"Argentina",0.844,45.744,3.927,3.919,3.934,3.942,3.934,3.95
"Armenia",0.763,2.992,0.127,0.127,0.127,0,0,0
"Australia",0.843,24.222,2.12,2.116,2.122,0,0,0
"Austria",0.672,8.974,0.206,0.203,0.212,0,0,0
"Azerbaijan",0.648,10.001,0.469,0.465,0.477,0,0,0
"Bahamas",0.858,0.187,0.017,0.017,0.017,0,0,0
"Bahrain",0.659,0.686,0.06,0.06,0.06,0,0,0
"Bangladesh",0.728,162.639,16.045,16.045,16.045,0,0,0
"Barbados",0.808,0.218,0.02,0.02,0.02,0,0,0
"Belarus",0.609,9.425,0.014,0.014,0.014,0,0,0
"Belgium",0.868,11.834,0,0,0,0,0,0
"Belize",0.779,0.322,0.032,0.032,0.032,0,0,0
"Benin",0.589,13.617,1.253,1.252,1.255,1.279,1.279,1.279
"Bhutan",0.706,0.965,0.068,0.068,0.068,0,0,0
"Bolivia (Plurinational State of)",0.782,11.907,0.723,0.722,0.723,1.029,1.028,1.031
"Bosnia and Herzegovina",0.675,3.828,0.116,0.112,0.12,0,0,0
"Botswana",0.535,2.357,0.191,0.19,0.192,0.001,0.001,0.001
"Brazil",0.899,204.408,20.23,20.229,20.23,20.107,20.107,20.108
"Brunei Darussalam",0.841,0.391,0.038,0.038,0.038,0,0,0
"Bulgaria",0.79,6.815,0.265,0.263,0.271,0,0,0
"Burkina Faso",0.405,21.99,2.152,2.146,2.158,2.198,2.198,2.198
"Burundi",0.49,12.423,1.239,1.239,1.24,1.205,1.199,1.21
"Cabo Verde",0.834,0.41,0.039,0.039,0.039,0,0,0
"Cambodia",0.745,16.541,1.645,1.645,1.646,0,0,0
"Cameroon",0.662,28.827,2.821,2.818,2.824,2.808,2.806,2.811
"Canada",0.846,35.408,1.148,1.112,1.175,0,0,0
"Central African Republic",0.62,5.307,0.504,0.503,0.506,0.524,0.523,0.525
"Chad",0.317,18.032,1.561,1.552,1.568,1.606,1.602,1.609
"Chile",0.844,17.229,1.134,1.13,1.135,0,0,0
